"(PDH-CSV 4.0) (W. Europe Daylight Time)(-120)","\\LAPTOP-RSREGGEF\LogicalDisk(_Total)\Disk Read Bytes/sec","\\LAPTOP-RSREGGEF\LogicalDisk(_Total)\Disk Write Bytes/sec","\\LAPTOP-RSREGGEF\Memory\Available MBytes","\\LAPTOP-RSREGGEF\Processor(0)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(1)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(10)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(11)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(12)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(13)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(14)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(15)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(2)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(3)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(4)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(5)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(6)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(7)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(8)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(9)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(_Total)\% Processor Time","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_10)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_11)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_12)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_13)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_14)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_15)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_4)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_5)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_6)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_7)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_8)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_9)\% of Maximum Frequency"
"10/25/2021 14:34:40.662","18249282.8356840536","160974.67950538577861","8569","10.545061183411629457","21.530755424045288748","8.9756762918925314665","7.4062914003734441337","3.4828291715757075941","0.34405938853750983597","2.6981367258161581546","1.1287518342970592755","21.530755424045288748","4.2675216173352463755","6.6215989546138942501","10.545061183411629457","25.454217652843023956","8.1909838461329815829","5.052214063094795371","8.9756762918925314665","9.171851914348250645","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/25/2021 14:34:42.667","11503275.800389472395","267975.48999796930002","8553","14.24407530714840675","20.480869830264893494","10.346078730200613194","6.4480821532528098672","11.905277360979727774","3.3296848916945731567","21.260469145654447232","7.2276814686423662693","22.040068461044004522","5.6684828378632534651","8.0072807840319342176","13.464475991758851237","22.040068461044004522","8.0072807840319342176","8.0072807840319342176","12.684876676369293946","12.197623362174104145","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/25/2021 14:34:44.658","0","138818.69348754151724","8553","9.7806669163728603422","23.117437893952519801","3.5045393975118410701","7.4271190967999833887","34.885176991816933878","14.487762555518624907","39.592272630962696667","19.979374134522011275","18.410342254806757012","2.7200234576542192677","10.565182856230492803","9.7806669163728603422","5.0735712772270957771","12.918730675803368868","5.0735712772270957771","8.9961509765152385398","14.144538714669163681","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/25/2021 14:34:46.670","0","273625.08243179321289","8548","7.5683196570487059063","23.10305584914135224","3.6846356090255327764","6.0148460378394386083","9.1217932762579714279","42.521476089257170372","13.005477324281134344","39.414528850838649987","26.986739897164525814","2.9078987994209049006","11.452003705071867046","9.1217932762579714279","12.228740514676495366","8.3450564666533324498","9.8985300858625997478","11.452003705071867046","14.801680575102393433","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/25/2021 14:34:48.669","0","147288.54987618557061","8548","11.659336486754167339","23.385973236300074518","9.3140091368449802189","2.2780270871174401748","18.695318536481707383","23.385973236300074518","25.731300586209261638","35.894385769149039334","26.513076369512312169","5.4051302203296796023","6.9686817869358037569","14.004663836663343801","11.659336486754167339","2.2780270871174401748","14.786439619966406767","13.222888053360282612","15.32391109640789395","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/25/2021 14:34:50.660","49364.276260776590789","195657.36580443222192","8525","49.783574739591429648","14.475150728366648067","15.259782373060538418","5.8442026367339305892","14.475150728366648067","5.8442026367339305892","41.152626647958697959","9.767360860203345041","29.383151977550447498","2.7056760579583949422","12.9058874389788798","10.551992504897233616","33.30631020101986195","7.4134659261216988568","20.752203885917719361","11.336624149591113309","17.80983270749440095","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/25/2021 14:34:52.666","0","323416.43710157444002","8524","44.693384109812875238","15.871626533236494083","8.8609287443395352568","4.96609663939677759","16.650592954225039932","4.96609663939677759","40.798552004870124676","11.197828007305188791","17.429559375213589334","6.5240294813738834989","4.1871302184082299647","11.197828007305188791","39.240619162893018768","4.1871302184082299647","22.88232432213345291","8.0819623233509769733","16.358484285393160462","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/25/2021 14:34:54.665","0","133181.82966442170436","8521","47.632807826423494646","16.368812498915140452","12.460813082976596178","5.4264141342872163065","13.24241296616430752","8.5528136670380501272","15.587212615727430887","22.62161156441680987","19.495212031665975161","6.2080140174749276483","10.116013433413462153","14.805612732539719545","39.816808994546406097","5.4264141342872163065","15.587212615727430887","6.2080140174749276483","16.222261895537538834","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/25/2021 14:34:56.650","16506.040713221344049","99036.244279328064295","8521","43.327398074703246778","18.139574996793594863","7.9070218713927946652","2.3971855731000468737","4.7585439866540841791","11.842619227316175667","9.4812608137621374738","39.391800718779869328","14.203977640870203203","6.3327829290234394222","7.9070218713927946652","10.268380284946820424","38.604681247595195259","3.1843050442847298243","15.77821658323955667","8.6941413425774669577","15.138682642597590444","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/25/2021 14:34:58.653","0","163581.50033409704338","8520","40.72315060722455371","14.98451863404575235","12.644643000120403542","4.8450575537025812878","18.884311357254656372","9.5248088215532771272","22.784104080463563946","18.104352812612876988","25.903938259030702795","4.8450575537025812878","14.98451863404575235","10.304767366195054734","37.603316428657429071","4.0650990090608019045","22.004145535821784563","5.6250160983443597829","16.739422863622412052","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
