(PDH-CSV 4.0) (W. Europe Daylight Time)(-120);\\LAPTOP-M8MF5JT2\LogicalDisk(_Total)\Disk Read Bytes/sec;\\LAPTOP-M8MF5JT2\LogicalDisk(_Total)\Disk Write Bytes/sec;\\LAPTOP-M8MF5JT2\Memory\% Committed Bytes In Use;\\LAPTOP-M8MF5JT2\Processor(_Total)\% Processor Time;Processor_0;Processor_1;\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_10)\% of Maximum Frequency;\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_11)\% of Maximum Frequency;\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_2)\% of Maximum Frequency;\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_3)\% of Maximum Frequency;\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_4)\% of Maximum Frequency;\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_5)\% of Maximum Frequency;\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_6)\% of Maximum Frequency;\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_7)\% of Maximum Frequency;\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_8)\% of Maximum Frequency;\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_9)\% of Maximum Frequency
10/26/2021 23:42:26.293;0;0;39.810.031.708.285.600.000;97.334.090.308.030.400.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:42:28.303;0;61.138.358.623.143.000.000;39.775.050.091.504.800.000;90.409.501.684.965.800.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:42:30.297;0;67.758.002.550.549.800.000;39.776.889.313.891.700.000;92.711.295.141.465.000.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:42:32.293;0;0;39.775.446.788.355.500.000;90.654.762.125.435.100.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:42:34.293;0;36.863.612.932.064.200.000;39.774.797.633.237.800.000;88.545.113.528.568.600.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:42:36.305;0;20.357.502.798.411.100.000;3.977.447.306.732.050.000;86.223.191.682.329.100.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:42:38.290;0;0;3.977.138.962.125.670.000;84.960.406.186.702.000.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:42:40.292;0;36.836.726.088.004.400.000;39.770.776.554.888.700.000;91.750.517.093.245.200.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:42:42.297;0;0;39.767.909.501.625.200.000;84.828.651.363.956.100.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:42:44.293;0;0;39.766.557.128.114.200.000;90.101.618.325.101.500.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:42:46.299;0;0;39.766.232.538.913.800.000;87.030.022.197.450.300.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:42:48.293;0;32.869.659.282.228.000.000;39.773.950.152.977.800.000;93.539.681.356.644.200.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:42:50.305;0;81.458.715.585.383.000.000;3.977.276.003.914.250.000;91.103.214.878.239.500.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:42:52.294;0;57.637.122.230.672.400.000;39.770.614.271.930.000.000;88.471.438.528.405.200.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:42:54.304;0;1.019.194.751.545.150.000;39.761.652.480.755.300.000;85.667.914.597.888.900.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:42:56.294;0;0;3.976.116.560.859.630.000;9.175.877.185.796.970.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:42:58.300;0;34.700.151.808.180.700.000;39.751.320.271.694.800.000;8.444.036.651.894.700.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:43:00.298;0;82.035.966.041.596.400.000;3.975.813.627.237.410.000;87.243.847.664.802.200.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:43:02.287;0;0;39.746.632.017.136.200.000;83.523.947.790.349.500.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:43:04.290;0;81.763.769.876.708.000.000;39.746.127.123.885.300.000;88.336.933.013.020.900.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:43:06.294;0;38.833.767.433.816.200.000;39.745.838.623.434.700.000;87.766.937.794.599.800.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:43:08.295;0;42.995.398.048.831.800.000;39.872.656.050.108.500.000;10.117.925.869.883.300.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:43:10.283;0;72.109.796.017.201.300.000;39.874.260.858.603.300.000;83.732.801.202.445.100.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:43:12.289;0;40.838.586.881.202.100.000;39.880.932.620.698.800.000;91.894.088.061.538.900.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:43:14.295;0;0;39.880.590.010.406.500.000;90.998.589.911.328.600.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:43:16.307;0;20.351.364.115.268.400.000;39.880.265.444.489.200.000;8.910.844.798.435.670.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:43:18.304;0;0;39.877.236.108.267.000.000;90.485.830.800.807.800.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:43:20.303;0;26.637.851.682.875.000.000;39.876.785.324.857.700.000;92.639.784.995.186.100.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:43:22.303;0;43.012.744.305.696.900.000;39.879.886.768.730.300.000;87.777.210.707.290.900.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:43:24.302;0;0;39.879.886.768.730.300.000;89.937.659.835.351.100.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:43:26.297;0;57.495.483.349.982.100.000;3.987.976.055.123.830.000;9.135.754.441.444.320.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:43:28.292;0;0;39.878.318.002.419.100.000;92.132.743.660.034.500.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:43:30.307;0;0;39.877.867.219.009.800.000;87.800.701.402.586.800.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:43:32.292;0;37.134.719.532.334.600.000;39.876.172.235.206.700.000;87.071.149.468.841.600.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:43:34.293;0;0;39.875.523.080.089.000.000;9.053.217.912.743.780.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:43:36.300;0;20.403.718.657.427.300.000;39.864.217.173.276.500.000;85.477.445.342.715.000.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:43:38.286;0;0;39.858.356.849.257.400.000;82.112.675.389.697.000.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:43:40.288;0;0;3.985.750.934.571.430.000;86.199.291.218.037.700.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:43:42.292;0;36.790.143.786.348.900.000;39.854.966.881.651.100.000;86.515.948.268.893.600.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:43:44.302;0;81.512.522.973.282.700.000;39.853.434.180.806.700.000;83.355.605.395.444.400.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:43:46.297;0;36.950.406.678.497.300.000;39.848.529.533.447.800.000;83.108.557.757.240.700.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:43:48.293;0;0;39.840.613.594.241.500.000;94.794.734.000.692.900.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:43:50.307;0;0;39.840.559.484.399.900.000;85.563.909.102.730.400.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:43:52.303;0;14.368.083.211.406.900.000;39.838.720.262.013.000.000;85.841.880.237.800.900.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:43:54.300;0;0;39.846.690.287.777.800.000;88.753.078.559.728.100.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:43:56.297;0;38.974.782.528.435.900.000;39.846.149.329.060.200.000;92.308.949.688.525.500.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:43:58.289;0;0;39.845.716.566.742.700.000;88.179.708.905.227.000.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:44:00.297;0;51.014.783.177.456.700.000;39.852.334.242.279.700.000;91.841.941.791.432.700.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:44:02.290;0;43.150.435.271.788.600.000;39.841.587.291.993.500.000;92.063.627.429.684.700.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:44:04.302;0;0;39.840.433.266.908.000.000;82.420.182.764.129.600.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:44:06.288;0;2.062.309.333.309.160.000;39.843.047.885.187.600.000;90.065.364.248.663.600.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:44:08.292;0;0;39.841.605.336.368.400.000;92.297.180.104.325.800.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:44:10.293;0;0;39.841.605.336.368.400.000;87.953.581.202.896.900.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:44:12.302;0;3.669.448.797.806.090.000;39.839.351.372.755.900.000;83.678.826.063.125.800.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:44:14.297;0;41.049.411.776.260.400.000;39.838.071.106.895.300.000;87.844.578.963.714.700.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:44:16.296;0;36.882.162.620.982.700.000;39.841.984.012.127.300.000;86.134.953.083.963.200.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:44:18.282;0;0;39.843.751.126.863.900.000;83.825.277.060.682.500.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:44:20.289;0;36.739.180.471.307.700.000;39.843.498.668.596.900.000;91.613.947.886.156.800.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:44:22.297;0;0;39.843.498.668.596.900.000;882.307.385.517.427.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:44:24.290;0;0;39.843.101.971.746.200.000;98.403.214.704.646.500.000;100;100;100;100;100;100;100;100;100;100;100;100
