"(PDH-CSV 4.0) (W. Europe Daylight Time)(-120)","\\LAPTOP-M8MF5JT2\LogicalDisk(_Total)\Disk Read Bytes/sec","\\LAPTOP-M8MF5JT2\LogicalDisk(_Total)\Disk Write Bytes/sec","\\LAPTOP-M8MF5JT2\Memory\% Committed Bytes In Use","\\LAPTOP-M8MF5JT2\Processor(_Total)\% Processor Time","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_10)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_11)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_4)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_5)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_6)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_7)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_8)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_9)\% of Maximum Frequency"
"10/27/2021 01:19:00.745","0","46805.070059053839941","43.32124964411399759","8.7879583685326441156","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 01:19:02.741","0","32835.353518905656529","43.309871583085012503","8.9934542046844700991","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 01:19:04.731","0","16465.535686164315848","43.316363017846917671","9.7097330282311595795","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 01:19:06.738","0","16324.278443528271964","43.312738636348569798","8.080753933746176898","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 01:19:08.734","0","92368.447876322490629","43.319482529377445701","8.7786526173827201802","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 01:19:10.720","0","0","43.322223341865985446","9.1392217083797415711","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 01:19:12.727","0","81639.262984412358492","43.319807095294770249","9.16584876484076716","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 01:19:14.737","0","8149.7687135034966559","43.326550965040581787","8.5453973409871260003","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 01:19:16.726","0","0","43.32992291155502329","8.7906951530894446023","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 01:19:18.738","0","2035.6430360780952924","43.335747170107381976","8.2375537385725223771","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 01:19:20.722","0","0","43.338433919320451082","9.3366129389409469042","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 01:19:22.728","0","59214.362832937469648","43.342310735802705324","9.6478679563783416029","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 01:19:24.732","0","0","43.343050042945669986","8.5079704114770944301","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 01:19:26.721","0","0","43.345285985466389889","9.2585299055979461968","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 01:19:28.731","0","50946.710785324139579","43.346295748685086835","9.047407886572955249","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 01:19:30.742","0","4073.3874045013913019","43.348712018539366397","8.7732521534039769051","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 01:19:32.738","0","38995.473711025821103","43.353201924672632117","8.659884574489939979","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 01:19:34.734","0","0","43.357836092672734196","8.7867021014591770722","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 01:19:36.722","0","39146.140897938748822","43.332735878260045581","8.7633004951011237438","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 01:19:38.730","0","48952.401478212741495","43.093472333413892272","13.11575051511831802","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 01:19:40.735","0","161395.65262606355827","43.028449789394727532","8.8163975612548064476","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 01:19:42.731","0","16411.390610929640388","43.039936023540782628","9.2870859208856408884","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 01:19:44.736","0","44959.323965676601802","43.043127642721671577","8.6614888214262002464","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 01:19:46.730","0","82166.69317124268855","43.042550641820426449","8.776360985973951756","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 01:19:48.733","0","0","43.046066826918647052","8.4927813285350257644","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 01:19:50.727","0","2054.0465996778016233","43.055028618093352577","9.0431918994471551798","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 01:19:52.732","0","0","43.056903929230031736","9.5305454761110404149","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 01:19:54.742","0","0","43.056903929230031736","8.2797641554980252465","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 01:19:56.742","0","40974.090989891425124","43.058923478950497099","9.2134822693605844535","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 01:19:58.734","0","0","43.059175913934403468","8.0631232261867076261","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 01:20:00.730","0","20528.05515070504407","43.067145962982237961","9.4230482789949281397","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 01:20:02.732","0","65460.654786340928695","43.05995128654407722","8.3725387019417123469","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 01:20:04.740","0","40803.827430891004042","43.068588511801465302","8.3570064625750006826","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 01:20:06.736","0","41040.24393695773324","43.069237643636121504","8.4805293113631936563","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 01:20:08.732","16416.966088754525117","291401.14807539281901","43.073078417934731021","10.171436272585598459","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 01:20:10.743","0","10183.416356187661222","43.072970221534596647","9.1618209971388466784","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 01:20:12.741","0","0","43.072807938575934372","9.0966907334741993196","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 01:20:14.733","0","0","43.074575053312486261","9.0094956937269206065","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 01:20:16.730","0","65616.537738420141977","43.074683249712613531","9.5873957495618551405","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 01:20:18.737","0","51037.659412939327012","43.078073217318873844","9.0168257396267108561","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 01:20:20.723","0","45371.317042047114228","43.088603774804759894","9.1317599613745628062","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 01:20:22.737","0","0","43.093057615471316524","8.7707722393636107228","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 01:20:24.734","0","0","43.092300287236525946","9.0438784148612292313","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 01:20:26.727","0","0","43.093183832963269708","9.5732375248699703718","100","100","100","100","100","100","100","100","100","100","100","100"
