"(PDH-CSV 4.0) (W. Europe Daylight Time)(-120)","\\LAPTOP-M8MF5JT2\LogicalDisk(_Total)\Disk Read Bytes/sec","\\LAPTOP-M8MF5JT2\LogicalDisk(_Total)\Disk Write Bytes/sec","\\LAPTOP-M8MF5JT2\Memory\% Committed Bytes In Use","\\LAPTOP-M8MF5JT2\Processor(_Total)\% Processor Time","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_10)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_11)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_4)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_5)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_6)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_7)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_8)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_9)\% of Maximum Frequency"
"10/26/2021 23:53:50.683","0","0","40.690306537014038213","9.0099068201462628735","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:53:52.691","0","6118.8512155614816947","40.68684443847435972","9.1624613283406546316","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:53:54.683","0","41125.623165894852718","40.684770778912302092","8.9419892132170826216","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:53:56.691","0","83616.85519744110934","40.699430611147413117","8.7801853632640032288","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:53:58.688","0","65663.801456775312545","40.697988085611250142","8.6794596743029135411","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:54:00.684","0","30767.88559875161809","40.707238377236585336","9.0344862987543841371","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:54:02.693","0","36707.552411621669307","40.735331862404791536","8.9174309460069665079","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:54:04.691","0","0","40.718886894341302707","8.8424880276657074063","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:54:06.688","0","2051.2830785672467755","40.696148839941280073","9.2960262729332434617","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:54:08.679","0","0","40.698294607153698621","8.6986067220864988769","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:54:10.691","0","0","40.696906168176070651","9.2905939820426723941","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:54:12.681","0","37057.925979547268071","40.69268674140160158","8.6361949805375921585","100","100","100","100","100","100","100","100","100","100","100","100"
