"(PDH-CSV 4.0) (W. Europe Daylight Time)(-120)","\\LAPTOP-M8MF5JT2\LogicalDisk(_Total)\Disk Read Bytes/sec","\\LAPTOP-M8MF5JT2\LogicalDisk(_Total)\Disk Write Bytes/sec","\\LAPTOP-M8MF5JT2\Memory\% Committed Bytes In Use","\\LAPTOP-M8MF5JT2\Processor(_Total)\% Processor Time","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_10)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_11)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_4)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_5)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_6)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_7)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_8)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_9)\% of Maximum Frequency"
"10/27/2021 00:14:24.202","0","6156.3110830884061215","41.493621780884829775","8.475563587418344369","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:14:26.186","0","10321.203617642344398","41.560645876815691224","8.3917547210386249645","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:14:28.195","0","27414273.74056372419","40.999280880437993346","8.8611287688025406339","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:14:30.206","0","0","41.082623703657326075","8.7920237265420304595","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:14:32.201","0","14373.235303376928641","41.215427671842142843","9.3323800316791327703","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:14:34.217","0","0","41.321472507277846375","8.7169292782874769898","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:14:36.207","0","0","41.458604098637266588","8.4972869381727775817","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:14:38.202","0","2054.5560884783344591","41.555001922313820728","8.070536241954872736","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:14:40.197","2053.1025758317146028","27638866.875846542418","41.024146680958601507","9.3471862294665868376","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:14:42.207","0","169146.53015721213887","41.096814708108269087","9.301796911522874467","100","100","100","100","100","100","100","100","100","100","100","100"
